timestamp,open,high,low,close,volume
2021-12-20,146.98,147.73,145.08,146.47,11201921.0
2021-12-21,147.56,151.425,147.39,151.05,10781406.0
2021-12-22,150.42,152.2,149.87,151.88,7820439.0
2021-12-23,152.32,154.1899,151.93,153.63,6572351.0
2021-12-27,152.88,154.02,151.4,152.8,7765470.0
2021-12-28,152.62,156.5,152.41,155.2,12198679.0
2021-12-29,154.56,155.92,154.18,154.87,8737004.0
2021-12-30,155.71,157.07,155.515,155.93,7228438.0
2021-12-31,155.87,156.57,154.74,154.89,6189861.0
2022-01-03,155.83,157.56,155.36,156.76,10228257.0
2022-01-04,158.59,160.32,155.55,155.73,16582041.0
2022-01-05,156.52,159.38,155.1,155.19,12272097.0
2022-01-06,156.24,157.77,153.6791,156.9,11095326.0
2022-01-07,156.9,159.3,156.29,157.83,9554622.0
2022-01-10,157.98,158.27,154.65,156.6,8672855.0
2022-01-11,156.62,158.22,155.9455,157.89,8001932.0
2022-01-12,158.5,158.99,156.33,157.8,6995649.0
2022-01-13,157.7,158.53,155.17,155.44,9680583.0
2022-01-14,152.35,152.62,148.415,151.94,16831957.0
2022-01-18,151.11,153.13,149.83,152.27,10020466.0
2022-01-19,150.84,152.86,149.955,150.11,10098063.0
2022-01-20,150.905,152.66,147.15,147.62,11760374.0
2022-01-21,141.23,141.87,136.6319,137.38,34491847.0
2022-01-24,134.82,137.68,129.26,137.46,31523846.0
2022-01-25,135.29,137.75,132.38,136.51,14694413.0
2022-01-26,137.707,138.2,132.26,133.6,14569916.0
2022-01-27,135.07,137.91,134.02,135.42,11913900.0
2022-01-28,135.21,138.69,133.56,138.63,10011666.0
2022-01-31,138.86,143.15,138.47,142.97,10185499.0
2022-02-01,143.02,144.69,142.25,144.49,8573340.0
2022-02-02,144.19,144.59,141.38,142.62,9529884.0
2022-02-03,140.0,142.04,139.25,140.03,9820585.0
2022-02-04,140.04,143.19,139.53,142.02,8061075.0
2022-02-07,143.39,144.09,141.61,142.51,10937517.0
2022-02-08,141.79,142.8879,140.74,142.48,9231697.0
2022-02-09,144.37,147.355,143.25,147.23,22877397.0
2022-02-10,156.02,157.5,151.11,152.16,42500322.0
2022-02-11,153.54,154.69,148.56,149.47,17975207.0
2022-02-14,149.37,153.73,149.21,150.85,14694683.0
2022-02-15,153.54,154.85,152.51,154.72,12730923.0
2022-02-16,154.98,156.73,153.75,156.35,10656352.0
2022-02-17,154.69,155.3612,152.61,152.95,8110299.0
2022-02-18,152.91,153.6755,150.05,151.36,10785503.0
2022-02-22,150.19,150.79,147.61,148.09,11623499.0
2022-02-23,149.5,149.74,145.5,145.87,9300697.0
2022-02-24,140.0,149.57,140.0,149.4,12475485.0
2022-02-25,149.56,150.28,147.22,149.53,10149515.0
