timestamp,open,high,low,close,volume
2021-12-21,376.43,382.085,374.76,380.32,2942812.0
2021-12-22,380.42,384.005,379.265,382.33,1487922.0
2021-12-23,383.79,387.61,383.57,385.04,1624168.0
2021-12-27,386.99,389.11,385.0001,388.04,1430760.0
2021-12-28,388.93,391.3328,386.235,387.61,1528340.0
2021-12-29,387.97,389.46,384.42,386.2,1327800.0
2021-12-30,387.75,389.7799,385.195,385.52,1160146.0
2021-12-31,385.0,387.0,380.835,382.55,1589703.0
2022-01-03,389.0,399.3,387.34,395.33,3338527.0
2022-01-04,402.23,410.28,401.18,407.48,3916412.0
2022-01-05,409.8,412.6599,397.89,398.63,3469627.0
2022-01-06,401.0,401.2,386.4332,396.93,2960923.0
2022-01-07,397.67,400.55,394.53,397.51,2360655.0
2022-01-10,401.32,404.37,394.215,399.17,3009436.0
2022-01-11,400.25,403.34,396.31,403.05,1737878.0
2022-01-12,403.24,404.12,388.56,390.31,4157980.0
2022-01-13,394.05,396.865,389.75,390.8,2497816.0
2022-01-14,382.13,384.39,375.0,380.94,4685335.0
2022-01-18,360.04,361.57,347.23,354.4,12902571.0
2022-01-19,358.34,359.7096,346.39,347.32,7277110.0
2022-01-20,348.9,357.1799,346.1372,348.1,4599934.0
2022-01-21,345.54,348.99,340.72,343.91,4904089.0
2022-01-24,337.32,344.07,326.23,343.39,6573835.0
2022-01-25,337.86,342.93,330.91,341.55,3959335.0
2022-01-26,346.6,350.48,338.4127,342.68,3745854.0
2022-01-27,345.67,348.77,337.72,341.03,2577150.0
2022-01-28,337.73,347.15,333.45,347.01,3714571.0
2022-01-31,344.6,355.21,343.44,354.68,3312350.0
2022-02-01,356.13,364.54,354.05,364.06,3303705.0
2022-02-02,363.5,368.53,357.83,363.06,2742362.0
2022-02-03,362.82,365.76,358.16,358.88,2372885.0
2022-02-04,362.17,370.95,361.02,367.6,3762311.0
2022-02-07,365.49,371.47,363.35,368.15,2635618.0
2022-02-08,371.08,372.65,366.25,370.1,3422322.0
2022-02-09,373.0,376.28,370.9,374.53,2250563.0
2022-02-10,371.71,377.4,368.83,370.57,2406181.0
2022-02-11,368.55,374.9,360.77,363.06,3142097.0
2022-02-14,363.06,364.29,357.1813,360.24,2585620.0
2022-02-15,364.09,365.89,361.36,363.94,1847145.0
2022-02-16,361.35,363.02,356.5308,360.05,2165268.0
2022-02-17,358.78,360.96,347.835,349.06,3102380.0
2022-02-18,345.57,350.0,343.37,346.04,2910900.0
2022-02-22,342.46,349.0,341.2,344.27,2449198.0
2022-02-23,347.57,349.26,339.82,341.19,2217335.0
2022-02-24,328.57,341.0,326.9471,340.19,4563974.0
2022-02-25,340.19,350.7,340.19,350.12,2980478.0
